title,author,journal,volume,number,pages,year,cite_id,cites
Viability of Basidiomycete fungal strains under different conservation methods: cryopreservation vs. freeze-drying processes,"A Palacio, Y Gutiérrez, D Rojas, L Atehortúa, P Zapata",Actualidades Biológicas,36,(100),13-21,2014,617652735610954138,12
Dopant spin states and magnetism of Sn1−xFexO2 nanoparticles,"A Punnoose, K Dodge, JJ Beltrán, KM Reddy, N Franco, J Chess, ...",Journal of Applied Physics,115,(17),17B534,2014,13558827091614798641,12
Nonlinear optical properties in an asymmetric double δ‐doped quantum well with a Schottky barrier: Electric field effects,"JG Rojas‐Briseño, JC Martínez‐Orozco, I Rodríguez‐Vargas, ...",physica status solidi (b),251,(2),415-422,2014,15554317581755248629,12
Increased covalent conjugation of a model antigen to poly (lactic acid)-g-maleic anhydride nanoparticles compared to bare poly (lactic acid) nanoparticles,"VH Orozco, J Palacio, J Sierra, BL López",Colloid and Polymer Science,291,(12),2775-2781,2013,17662290326438586532,12
Intershell spacing changes in MWCNT induced by metal–CNT interactions,"J Gallego, J Barrault, C Batiot-Dupeyrat, F Mondragon",Micron,44,,463-467,2013,15518818440964393779,12
On the possibility of tuning the energy separation between space-quantized levels in a quantum well,"V Tulupenko, CA Duque, R Demedyuk, Y Belichenko, CM Duque, ...",Philosophical magazine letters,93,(1),42-49,2013,16247887380938574080,12
Extremal values of the Sombor index in unicyclic and bicyclic graphs,"R Cruz, J Rada",Journal of Mathematical Chemistry,59,(4),1098-1116,2021,3243907721610034750,11
Supramolecular hydrogels based on cellulose for sustained release of therapeutic substances with antimicrobial and wound healing properties,"O Forero-Doria, E Polo, A Marican, L Guzmán, B Venegas, S Vijayakumar, ...",Carbohydrate polymers,242,,116383,2020,2612147366139383613,11
Effect of Multifunctional Nanocatalysts on n-C7 Asphaltene Adsorption and Subsequent Oxidation under High-Pressure Conditions,"OE Medina, J Gallego, CM Olmos, X Chen, FB Cortés, CA Franco",Energy & Fuels,34,(5),6261-6278,2020,16101179578850021491,11
"A revision of the French Trichobranchidae (Polychaeta), with descriptions of nine new species.","N Lavesque, P Hutchings, G Daffe, A Nygren, MH Londoño-Mesa",Zootaxa,4664,(2),zootaxa. 4664.2. 1-zootaxa. 4664.2. 1,2019,15701483279111692625,11
Singlet-doublet Dirac dark matter and neutrino masses,"D Restrepo, A Rivera, W Tangarife",Physical Review D,100,(3),035029,2019,16070378759337390151,11
"Preparation of mesoporous Beta zeolite by fluoride treatment in liquid phase. Textural, acid and catalytic properties","N Suárez, J Pérez-Pariente, C Marquez-Alvarez, MG Casas, A Mayoral, ...",Microporous and Mesoporous Materials,284,,296-303,2019,11491806403808513399,11
"Is every graph the extremal value of a vertex-degree-based topological index?,‎‎","J Rada, S Bermudo",MATCH Commun. Math. Comput. Chem,81,,315-323,2019,12557670497427697559,11
The MESS of cosmological perturbations,"AE Romano, SAV Peña",Physics Letters B,784,,367-372,2018,6077622288218518146,11
Influence of the position of a donor impurity on the second-order nonlinear optical susceptibility in a cylindrical quantum dot,"AA Portacio, BA Rodríguez, P Villamil",Superlattices and Microstructures,113,,550-557,2018,1199005420155631947,11
"The role of environment, dispersal and competition in explaining reduced co-occurrence among related species","BG Weinstein, CH Graham, JL Parra",PLoS One,12,(11),e0185493,2017,15134926900239889797,11
Mechanistic Insights into Alkane Metathesis Catalyzed by Silica-Supported Tantalum Hydrides: A DFT Study,"F Nunez-Zarur, X Solans-Monfort, A Restrepo",Inorganic chemistry,56,(17),10458-10473,2017,289342095208279715,11
Donor impurity-related photoionization cross section in GaAs cone-like quantum dots under applied electric field,"E Iqraoun, A Sali, A Rezzouk, E Feddi, F Dujardin, ME Mora-Ramos, ...",Philosophical Magazine,97,(18),1445-1463,2017,5062642059573379128,11
Phylogenetic analysis of the Neotropical Pristimantis leptolophus species group (Anura: Craugastoridae): molecular approach and description of a new polymorphic species,"M Rivera-Correa, C Jimenez-Rivillas, JM Daza",Zootaxa,4242,(2),313-343,2017,3907086028777988249,11
"Chitosan/OA nanoparticle as delivery system for celecoxib: Parameters affecting the particle size, encapsulation, and release","PA Méndez, GM Vásquez, C Gartner, BL López",Journal of Applied Polymer Science,134,(7),,2017,16481740726460732330,11
"Deep into the Aristolochia Flower: Expression of C, D, and E‐Class Genes in Aristolochia fimbriata (Aristolochiaceae)","H Suárez‐Baron, P Pérez‐Mesa, BA Ambrose, F González, ...",Journal of Experimental Zoology Part B: Molecular and Developmental …,,,,2017,7405256355683291839,11
Quantifying and Controlling Biases in Estimates of Dark Matter Halo Concentration,"CN Poveda-Ruiz, JE Forero-Romero, JC Muñoz-Cuartas",The Astrophysical Journal,832,(2),169,2016,6735504162071066502,11
"PLA/Pluronic® nanoparticles as potential oral delivery systems: Preparation, colloidal and chemical stability, and loading capacity","J Palacio, NA Agudelo, BL Lopez",Journal of Applied Polymer Science,133,(33),,2016,15089898925913601611,11
Role of iron in the ferromagnetic-antiferromagnetic boundary of La0. 5Ca0. 5Mn1-xFexO3+ δ (0≤ x≤ 0.5) manganites,"HA Martínez-Rodríguez, JF Jurado, J Restrepo, O Arnache, ...",Ceramics International,42,(11),12606-12612,2016,4416813294658281242,11
Fe3O4 (110)–(1× 3) revisited: Periodic (111) nanofacets,"GS Parkinson, P Lackner, O Gamba, S Maaß, S Gerhold, M Riva, R Bliem, ...",Surface Science,649,,L120-L123,2016,4931763469459253899,11
In situ immobilization of β‐galactosidase from Bacillus circulans in silica by sol‐gel process: Application in prebiotic synthesis,"S Escobar, A Illanes, L Wilson, C Bernal, M Mesa",Engineering in Life Sciences,16,(4),396-404,2016,4959857490803813222,11
Electron and donor-impurity-related Raman scattering and Raman gain in triangular quantum dots under an applied electric field,"A Tiutiunnyk, V Akimov, V Tulupenko, ME Mora-Ramos, E Kasapoglu, ...",The European Physical Journal B,89,(4),1-9,2016,12494659747775842867,11
Phononic and thermodynamic properties of the sulvanite compounds: A first-principles study,"WF Espinosa-García, C Valencia-Balvín, JM Osorio-Guillén",Computational Materials Science,113,,275-279,2016,3644078638091574571,11
Effect of Mg/Al Ratio on catalytic behavior of Fischer–Tropsch cobalt-based catalysts obtained from hydrotalcites precursors,"A Forgionny, JLG Fierro, F Mondragón, A Moreno",Topics in Catalysis,59,(2-4),230-240,2016,1719461070454418496,11
Magnetic effect in viscosity of magnetorheological fluids,"HA Fonseca, E Gonzalez, J Restrepo, CA Parra, C Ortiz",Journal of Physics: Conference Series,687,(1),012102,2016,901944971943464383,11
Multiband electronic characterization of the complex intermetallic cage system ,"M Cabrera-Baez, A Naranjo-Uribe, JM Osorio-Guillén, C Rettori, MA Ávila",Physical Review B,92,(21),214414,2015,7867032199411634444,11
Electronic and thermal properties of Biphenyl molecules,"FG Medina, JH Ojeda, CA Duque, D Laroze",Superlattices and Microstructures,87,,89-96,2015,9437566385513881903,11
Assessing photocatalytic power of g-C3N4 for solar fuel production: A first-principles study involving quasi-particle theory and dispersive forces,"JM Osorio-Guillén, WF Espinosa-García, C Moyses Araujo",The Journal of chemical physics,143,(9),094705,2015,9362899379049676940,11
Coping with matrix effects in headspace solid phase microextraction gas chromatography using multivariate calibration strategies,"V Ferreira, P Herrero, J Zapata, A Escudero",Journal of Chromatography A,1407,,30-41,2015,6256045175354246889,11
Contribution to the taxonomy of the family Membracidae Rafinesque (Hemiptera: Auchenorrhyncha) in Colombia,"C FLÓREZ-V, MI Wolff, J Cardona-Duque",Zootaxa,3910,(1),1-261,2015,5721776983751862933,11
Gradiente de recuperación longitudinal en la estructura de la ictiofauna en un río andino regulado,"LF Jiménez-Segura, JA Maldonado-Ocampo, CM Pérez-Gallego",Biota Colombiana,15,(2),,2014,17622102138196792377,11
Shot noise and thermopower in aromatic molecules,"JH Ojeda, CA Duque, D Laroze",Physica E: Low-dimensional Systems and Nanostructures,62,,15-20,2014,12656387960620510027,11
"Experimental opto-digital processing of multiple data via modulation, packaging and encryption","S Trejos, JF Barrera, M Tebaldi, R Torroba",Journal of Optics,16,(5),055402,2014,10431836595304627190,11
Hydrogen bonding in the binary water/ammonia complex,"D Guerra, J David, A Restrepo",Journal of Computational Methods in Sciences and Engineering,14,(1-3),93-102,2014,8677977391624994441,11
Properties and applications of extended hypergeometric functions,"DK Nagar, RA Morán-Vásquez, AK Gupta",Ingeniería y Ciencia,10,(19),11-31,2014,18334298525834341525,11
Characterization of a differentially expressed phenylalanine ammonia-lyase gene from banana induced during Mycosphaerella fijiensis infection,"JC Alvarez, HA Rodriguez, E Rodriguez-Arango, ZI Monsalve, ...",Journal of Plant Studies,2,(2),35,2013,16719387345177909919,11
"Biología reproductiva de Lutjanus guttatus (Perciformes: Lutjanidae) en el parque nacional natural Utría, Pacífico colombiano","T Correa-Herrera, LF Jiménez-Segura",Revista de Biología Tropical,61,(2),829-840,2013,1387389930193494253,11
Description of the Male of Laneella perisi (Mariluis)(Diptera: Calliphoridae) n. comb.,"M Wolff, Y Ramos-Pastrana, JR Pujol-Luz",Neotropical Entomology,42,(1),58-62,2013,10800459953884178062,11
An approach to the etiology of metabolic syndrome,"AM Muñoz Contreras, G Bedoya Berrío, CM Velásquez R",Colombia Médica,44,(1),57-63,2013,16005608266677532096,11
Biomechanical study of the Grosse-Kempf femoral nail,"MS Gimeno, JA Albareda, JMC Vernet, JF Gallego, JJ Fernandez, ...",International orthopaedics,21,(2),115-118,1997,6217451028985356891,11
The global abundance of tree palms,"R Muscarella, T Emilio, OL Phillips, SL Lewis, F Slik, WJ Baker, ...",Global Ecology and Biogeography,29,(9),1495-1514,2020,10222552288613756126,10
CO2 activation on small Cu-Ni and Cu-Pd bimetallic clusters,"A Alvarez-Garcia, E Flórez, A Moreno, C Jimenez-Orozco",Molecular Catalysis,484,,110733,2020,7450335982347973,10
Formation mechanisms of chitosan-silica hybrid materials and its performance as solid support for KR-12 peptide adsorption: Impact on KR-12 antimicrobial activity and …,"J Diosa, F Guzman, C Bernal, M Mesa",Journal of Materials Research and Technology,9,(1),890-901,2020,10133856384622427598,10
Secure real-time generation and display of color holographic movies,"AV Zea, JFB Ramírez, R Torroba",Optics and Lasers in Engineering,122,,239-244,2019,7064500978255595188,10
Shallow genetic divergence and distinct phenotypic differences between two Andean hummingbirds: Speciation with gene flow?,"C Palacios, S García-R, JL Parra, AM Cuervo, FG Stiles, JE McCormack, ...",The Auk,136,(4),ukz046,2019,8277332935198910367,10
"Ploonets: formation, evolution, and detectability of tidally detached exomoons","M Sucerquia, JA Alvarado-Montes, JI Zuluaga, N Cuello, C Giuppone",Monthly Notices of the Royal Astronomical Society,489,(2),2313-2322,2019,6454441912797302307,10
Effect of applied electric field on the nonlinear optical properties of modulation-doped GaAs/AlxGa1-xAs double quantum well,"F Ungan, JC Martínez-Orozco, RL Restrepo, ME Mora-Ramos, CA Duque",Superlattices and Microstructures,126,,89-97,2019,3101774474330408446,10
Fungicidas a partir de extractos vegetales: una alternativa en el manejo integrado de hongos fitopatógenos,"AM Mesa, PA Marin, O Ocampo, J Calle, ZI Monsalve Fonnegra",Ediciones INTA,,,,2019,1514810131784691995,10
Relationship between ferromagnetism and formation of complex carbon bonds in carbon doped ZnO powders,"JJ Beltrán, CA Barrero, A Punnoose",Physical Chemistry Chemical Physics,21,(17),8808-8819,2019,3964041608281107691,10
Using transcriptomics to enable a plethodontid salamander (Bolitoglossa ramosi) for limb regeneration research,"CMA Gómez, RM Woodcock, JJ Smith, RS Voss, JP Delgado",BMC genomics,19,(1),1-12,2018,10816653307673989418,10
"Genotoxicity and cytotoxicity of three microcystin-LR containing cyanobacterial samples from Antioquia, Colombia","N Herrera, C Herrera, I Ortíz, L Orozco, S Robledo, D Agudelo, ...",Toxicon,154,,50-59,2018,16317972537731900904,10
Using benzene as growth precursor for the carbon nanostructure synthesis in an inverse diffusion flame reactor,"O Padilla, J Gallego, A Santamaría",Diamond and Related Materials,86,,128-138,2018,5240562855993840537,10
Electronic state and photoionization cross section of a single dopant in GaN/InGaN core/shell quantum dot under magnetic field and hydrostatic pressure,"A El Aouami, E Feddi, A Talbi, F Dujardin, CA Duque",Applied Physics A,124,(6),1-11,2018,15342306103532058375,10
"Insects of forensic importance associated to cadaveric decomposition in a rural area of the Andean Amazon, Caquetá, Colombia","Y Ramos-Pastrana, Y Virgüez-Díaz, M Wolff",Acta Amazonica,48,(2),126-136,2018,2448158304189600397,10
Linking axionlike dark matter to neutrino masses,"CDR Carvajal, BL Sánchez-Vega, O Zapata",Physical Review D,96,(11),115035,2017,3905839348796378615,10
Virological surveillance of Aedes (Stegomyia) aegypti and Aedes (Stegomyia) albopictus as support for decision making for dengue control in Medellín,"J Pérez-Pérez, WH Sanabria, C Restrepo, R Rojo, E Henao, O Triana, ...",Biomédica,37,,155-166,2017,12901819124132346844,10
Effect of toe-clipping on the survival of several lizard species.,"C Olivera-Tlahuel, HA Pérez-Mendoza, JJ Zúñiga-Vega, LC Rubio-Rocha, ...",Herpetological Journal,27,(3),,2017,2798376368675840841,10
"Triatoma dimidiata en Colombia; distribución, ecología e importancia epidemiológica","Ó Quirós-Gómez, N Jaramillo, VM Angulo, G Parra-Henao",Biomédica,37,(2),274-285,2017,13840368708425379385,10
Fermionic triplet dark matter in an -inspired left-right model,"C Arbeláez, M Hirsch, D Restrepo",Physical Review D,95,(9),095034,2017,10539747452972188249,10
Non-linear optical response of an impurity in a cylindrical quantum dot under the action of a magnetic field,"AA Portacio, BA Rodríguez, P Villamil",Physica B: Condensed Matter,511,,68-73,2017,1694068535085715877,10
"Out of Amazonia: the unexpected trans-Andean distribution of Cochranella resplendens (Lynch and Duellman, 1978)(Anura: Centrolenidae)","C Molina-Zuluaga, E Cano, A Restrepo, M Rada, JM Daza",Zootaxa,4238,(2),268-274,2017,3683805469325988495,10
Extremal values of the trace norm over oriented trees,"N Agudelo, JA de la Peña, J Rada",Linear Algebra and its Applications,505,,261-268,2016,13623375475486295044,10
"Inversion of the stereochemical configuration (3S, 5S)-clavaminic acid into (3R, 5R)-clavulanic acid: A computationally-assisted approach based on experimental evidence","H Ramirez-Malule, A Restrepo, W Cardona, S Junne, P Neubauer, ...",Journal of theoretical biology,395,,40-50,2016,4975410467221564213,10
"On the nature of the trimer, tetramer, and pentamer of ammonia borane","AD Zapata-Escobar, T Cárcamo-Camacho, CZ Hadad, A Restrepo",Theoretical Chemistry Accounts,135,(4),95,2016,17214471174959778046,10
"Influencia antrópica en el paisaje de las poblaciones de Pelliciera rhizophorae (Ericales: Tetrameristaceae) más sureñas del Caribe (Turbo, Colombia)","JF Blanco-Libreros, EA Estrada-Urrea, RJ Pérez-Montalvo, ...",Revista de Biología Tropical,64,(1),79-94,2016,15074955649054242482,10
Prevalence of haemosporidians in a Neotropical endemic bird area,"C González Quevedo, AL Pabón Vidal, HF Rivera Gutiérrez",Resilience Alliance,,,,2016,16947431147408070197,10
Intense laser field effects on a Woods–Saxon potential quantum well,"RL Restrepo, AL Morales, V Akimov, V Tulupenko, E Kasapoglu, F Ungan, ...",Superlattices and Microstructures,87,,143-148,2015,14106076637188936854,10
Phosphine-Free Suzuki Cross-Coupling Reaction Using an Efficient and Reusable Pd Catalyst in an Aqueous Medium Under Microwave Irradiation,"JFM Da Silva, AF Yepes Perez, NP de Almeida",Synthetic Communications,45,(17),1995-2004,2015,17943743205801350214,10
Potential well spectrum and hitting time in renewal processes,"M Abadi, L Cardeño, S Gallo",Journal of Statistical Physics,159,(5),1087-1106,2015,12408877473081964970,10
Shallow‐impurity‐related binding energy and linear optical absorption in ring‐shaped quantum dots and quantum‐well wires under applied electric field,"SAA Kohl, RL Restrepo, ME Mora‐Ramos, CA Duque",physica status solidi (b),252,(4),786-794,2015,12050132881340020025,10
The effects of intense laser field and applied electric and magnetic fields on optical properties of an asymmetric quantum well,"RL Restrepo, F Ungan, E Kasapoglu, ME Mora-Ramos, AL Morales, ...",Physica B: Condensed Matter,457,,165-171,2015,5701739774447523022,10
Habilidades de comprensión lectora requeridas para la solución de problemas matemáticos en alumnos universitarios,C López,Tesis de Maestría en Educación. Recuperado a partir de: https://pirhua. udep …,,,,2015,2209697163638402055,10
"Preparation of rotenone derivatives and in vitro analysis of their antimalarial, antileishmanial and selective cytotoxic activities","Y Upegui, JF Gil, W Quiñones, F Torres, G Escobar, SM Robledo, ...",Molecules,19,(11),18911-18922,2014,18423689267770967343,10
Categorification of some integer sequences,"AM Cañadas, H Giraldo, PFF Espinosa",Far East Journal of Mathematical Sciences,92,(2),125,2014,18367870982792698917,10
The impending demise of comet C/2012 S1 (ISON),I Ferrín,Planetary and Space Science,96,,114-119,2014,11380125454693704714,10
"Patterns at Multi-Spatial Scales on Tropical Island Stream Insect Assemblages: Gorgona Island Natural National Park, Colombia, Tropical Eastern Pacific","M Longo, JF Blanco",Revista de Biología Tropical,62,,65-83,2014,10950863484095013438,10
An upper bound for the energy of radial digraphs,"R Cruz, H Giraldo, J Rada",Linear Algebra and its Applications,442,,75-81,2014,17481118940449607648,10
Leishmanicidal and trypanocidal activity of Sapindus saponaria,"E Correa, W Quinones, S Robledo, L Carrillo, R Archbold, F Torres, ...",Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas,13,…,,2014,6668352321277397098,10
"Valoración clínica y parasitológica del tití gris (Primates: Cebidae: Saguinus leucopus) en dos poblaciones naturales presentes en San Carlos y San Rafael (Antioquia, Colombia).","YA Acevedo-Garcés, J Álvarez-Cardona, V Vargas-Valencia, ...",CES Medicina Veterinaria & Zootecnica,9,(1),,2014,13348166777295698682,10
"The location of Asteroidal Belt Comets (ABCs), in a comet's evolutionary diagram: The Lazarus Comets","I Ferrín, J Zuluaga, P Cuartas",Monthly Notices of the Royal Astronomical Society,434,(3),1821-1837,2013,16316833609755724436,10
Experimental protocol for packaging and encrypting multiple data,"JF Barrera, S Trejos, M Tebaldi, R Torroba",Journal of Optics,15,(5),055406,2013,3702870269608725860,10
Revision of the Neotropical genus Eoneria Aczél (Diptera: Neriidae) with description of a new species from Colombia,"TA Sepulveda, MI Wolff, CJB De Carvalho",Zootaxa,3636,(2),245-256,2013,5550707975616299387,10
"Las estatinas: química, técnicas analíticas, biosíntesis y farmacocinética","IJ NIETO-RAMIREZ, C CHEGWIN-ANGARITA, L Atehortúa, ...",Vitae,20,(1),49-63,2013,4031736641995021454,10
Temperature field of turbulent flow in a well,"AI Filippov, OV Akhmetova, AS Rodionov",High Temperature,51,(2),246-255,2013,15596311918901466747,10
On benzenoid systems with minimal number of inlets,"R Cruz, I Gutman, J Rada",Journal of the Serbian Chemical Society,78,(9),1351-1357,2013,5344138572735085846,10
"NiO, Fe2O3, and MoO3 supported over SiO2 nanocatalysts for asphaltene adsorption and catalytic decomposition: optimization through a simplex–centroid mixture design of experiments","D Arias-Madrid, OE Medina, J Gallego, S Acevedo, AA Correa-Espinal, ...",Catalysts,10,(5),569,2020,686999069284207011,9
Bacterial extracts and bioformulates as a promising control of fruit body rot and root rot in avocado cv. Hass,"D Granada, L López-Lujan, S Ramirez-Restrepo, J Morales, ...",Journal of Integrative Agriculture,19,(3),748-758,2020,10219548171713658416,9
Magneto-optical effect in GaAs/GaAlAs semi-parabolic quantum well,"ND Hien, CA Duque, E Feddi, NV Hieu, HD Trien, LTT Phuong, BD Hoi, ...",Thin Solid Films,682,,10-17,2019,9172824707779916648,9
Guild-level responses of bats to habitat conversion in a lowland Amazonian rainforest: species composition and biodiversity,"MR Willig, SJ Presley, JL Plante, CP Bloch, S Solari, V Pacheco, ...",Journal of mammalogy,100,(1),223-238,2019,5630296008698946620,9
Linear and nonlinear optical properties in the terahertz regime for multiple-step quantum wells under intense laser field: Electric and magnetic field effects,"RL Restrepo, JP Gonzalez-Pereira, E Kasapoglu, AL Morales, CA Duque",Optical Materials,86,,590-599,2018,1330572195145141627,9
Fundamental exciton transitions in SiO2/Si/SiO2 cylindrical core/shell quantum dot,"M El-Yadri, E Feddi, N Aghoutane, A El Aouami, A Radu, F Dujardin, ...",Journal of Applied Physics,124,(14),144303,2018,15173511191089256778,9
Hybrid molecules: promising compounds for the development of new treatments against Leishmaniasis and Chagas disease,"W Cardona-G, AF Yepes, A Herrera-R",Current medicinal chemistry,25,(30),3637-3679,2018,2692013387679099393,9
Silver-stabilized guanine duplex: Structural and optical properties,"X Chen, E Makkonen, D Golze, O Lopez-Acevedo",The journal of physical chemistry letters,9,(16),4789-4794,2018,8254414681736865670,9
Wedderburn principal theorem for Jordan superalgebras I,FA Gómez-González,Journal of Algebra,505,,1-32,2018,9406622621519237806,9
"A new species of Anoura Gray, 1838 (Chiroptera: Phyllostomidae) from Peru, with taxonomic and biogeographic comments on species of the Anoura caudifer complex","V Pacheco, P Sánchez-Vendizú, S Solari",Acta chiropterologica,20,(1),31-50,2018,13721422833023127142,9
Microalgae biorefineries: applications and emerging technologies,"ND Giraldo-Calderón, RJ Romo-Buchelly, AA Arbeláez-Pérez, ...",Dyna,85,(205),219-233,2018,17985613418184658273,9
Evaluation of the potential of regeneration of different Colombian and commercial genotypes of cocoa (Theobroma cacao L.) via somatic embryogenesis,"AMH Ramírez, T de la Hoz Vasquez, TMO Osorio, LA Garcés, AIU Trujillo",Scientia Horticulturae,229,,148-156,2018,1032287303337121483,9
Evidence of the spin Seebeck effect in Ni-Zn ferrites polycrystalline slabs,"JD Arboleda, O Arnache, MH Aguirre, R Ramos, A Anadón, MR Ibarra",Solid State Communications,270,,140-146,2018,7111506504928699382,9
"Evolution of the SPATULA/ALCATRAZ gene lineage and expression analyses in the basal eudicot, Bocconia frutescens L.(Papaveraceae)","C Zumajo-Cardona, BA Ambrose, N Pabón-Mora",EvoDevo,8,(1),1-18,2017,14782251585100891945,9
"Floral Development and Morphoanatomy in the Holoparasitic Pilostyles boyacensis (Apodanthaceae, Cucurbitales) Reveal Chimeric Half-Staminate and Half …","F González, N Pabón-Mora",International Journal of Plant Sciences,178,(7),000-000,2017,9714746148997250151,9
Understanding the kinetics of carbon-hydrogen reaction: Insights from reaction mechanisms on zigzag edges for homogeneous and heterogeneous formation of methane,"LA Calderón, E Chamorro, JF Espinal",Carbon,118,,597-606,2017,8946236244603759381,9
Virus-induced gene silencing in Rauwolfia species,"C Corbin, F Lafontaine, LJ Sepúlveda, I Carqueijeiro, M Courtois, ...",Protoplasma,254,(4),1813-1818,2017,10070941965430196668,9
Stark-shift of impurity fundamental state in a lens shaped quantum dot,"L Aderras, A Bah, E Feddi, F Dujardin, CA Duque",Physica E: Low-dimensional Systems and Nanostructures,89,,119-123,2017,11530694682873065318,9
Actividad antibacterial y larvicida sobre Aedes aegypty L. de extractos de Ambrosia peruviana Willd (Altamisa),"AM Mesa Vanegas, JP Naranjo, AF Diez, O Ocampo, ZL Monsalve",Revista Cubana de Plantas Medicinales,22,(1),1-11,2017,3693498398553532100,9
Transport properties through an aromatic molecular wire,"JH Ojeda, CA Duque, D Laroze",Organic Electronics,41,,369-375,2017,3147838161134812188,9
Comparative inflorescence development in selected Andean Santalales,"V Suaza‐Gaviria, F González, N Pabón‐Mora",American journal of botany,104,(1),24-38,2017,5050398126954506879,9
Patterns of diversity of flower-visitor assemblages to the understory Araceae in a tropical mountain forest in Colombia,"L Gómez-Murillo, SE Cuartas-Hernández",Journal of Insect Conservation,20,(6),1069-1085,2016,1515776304330669868,9
The developmental and genetic bases of apetaly in Bocconia frutescens (Chelidonieae: Papaveraceae),"C Arango-Ocampo, F González, JF Alzate, N Pabón-Mora",EvoDevo,7,(1),1-18,2016,3446767201233642469,9
Entanglement properties of quantum polaritons,"DG Suárez-Forero, G Cipagauta, H Vinck-Posada, KMF Romero, ...",Physical Review B,93,(20),205302,2016,15642438774884040721,9
Life table and stochastic matrix projection analysis for a population of Green Iguanas (Iguana iguana): implications for conservation and control,"BC Bock, VP Páez, AS Rand, GM Burghardt",Iguanas: biology,,,,2016,558894852857597581,9
Effect of genotype on the in vitro regeneration of Stevia rebaudiana via somatic embryogenesis,"EJ Naranjo, O Fernandez Betin, AI Urrea Trujillo, R Callejas Posada, ...",Acta Biológica Colombiana,21,(1),87-98,2016,18013617792077904278,9
Preovulatory maternal effects on intra-and interpopulation variation in sex ratios and phenotypic characteristics of Magdalena River Turtles (Podocnemis lewyana),"VP Páez, L Echeverri-G, BC Bock, RM Bowden, LM Hinestroza",Herpetologica,71,(3),196-202,2015,11782185315661932753,9
Non-linear optical processes involving excited subbands in laser-dressed quantum wires with triangular cross-section,"A Radu, CA Duque",Physica E: Low-dimensional Systems and Nanostructures,72,,165-177,2015,15235343365489709588,9
Remediation effect of compost on soluble mercury transfer in a crop of Phaseolus vulgaris,"NE Restrepo-Sánchez, L Acevedo-Betancourth, B Henao-Murillo, ...",Journal of Environmental Sciences,31,,61-67,2015,11681771002202091824,9
On some new effects in delta-doped QWs,"V Tulupenko, CA Duque, R Demediuk, V Belykh, A Tiutiunnyk, ...",Physica E: Low-dimensional Systems and Nanostructures,66,,162-169,2015,12643065323586539262,9
Conservación de las tortugas continentales de Colombia: evaluación 2012-2013 y propuesta 2015-2020,"J del Río, AM Echeverry, C Rojano, F Trujillo, S Martínez, AF Aponte, ...",,,,,2015,2309319512115680716,9
Plan de acción para la conservación de las zamias de Colombia,C López-Gallego,Ministerio de Ambiente y Desarrollo Sostenible–Universidad de Antioquia …,,,,2015,9954693289461854496,9
Monitoreo de poblaciones de plantas para la conservación: recomendaciones para implementar planes de monitoreo para especies de plantas de interés en conservación,C López-Gallego,"Universidad de Antioquia,(Colombia).",,,,2015,1089007959319099502,9
Evolutionary and sequence-based relationships in bacterial AdoMet-dependent non-coding RNA methyltransferases,"J Mosquera-Rendón, S Cárdenas-Brito, JD Pineda, M Corredor, ...",BMC research notes,7,(1),1-15,2014,11743665703269531819,9
Micropropagation of the native species Anthurium antioquiense Engl. for conservation purposes,"PA Murillo-Gómez, E Naranjo, R Callejas, L Atehortúa, A Urrea",Agronomía Colombiana,32,(3),334-340,2014,7869080381960729020,9
"Pilostyles boyacensis, a new species of Apodanthaceae (Cucurbitales) from Colombia","F Gonzalez, N Pabon-Mora",Phytotaxa,178,(2),138-145,2014,5184597042106902456,9
Potential Energy Surfaces of WC6 Clusters in Different Spin States,"CZ Hadad, E Florez, G Merino, JL Cabellos, F Ferraro, A Restrepo",The Journal of Physical Chemistry A,118,(31),5762-5768,2014,14033923536270621832,9
A new method to determine large scale structure from the luminosity distance,"AE Romano, HW Chiang, P Chen",Classical and Quantum Gravity,31,(11),115008,2014,7670423390452169812,9
Gd3+ spin–lattice relaxation via multi-band conduction electrons in Y1− xGdxIn3: an electron spin resonance study,"M Cabrera-Baez, W Iwamoto, ET Magnavita, JM Osorio-Guillén, ...",Journal of Physics: Condensed Matter,26,(17),175501,2014,16961390208272589024,9
Metric-signature topological transitions in dispersive metamaterials,"E Reyes-Gómez, SB Cavalcanti, LE Oliveira, CAA De Carvalho",Physical Review E,89,(3),033202,2014,4222545285020677089,9
"Guía Ilustrada Peces Cañón del río Porce, Antioquia","LF Jiménez-Segura, J Álvarez, LE Ochoa, A Loaiza, JP Londoño, ...",Medellín (Colombia): EPM,,,,2014,17562126789079691290,9
Properties of the extended Whittaker function,"DK Nagar, AKAK Gupta",Progress in Applied Mathematics,6,(2),70-80,2013,11213167852132088387,9
The effects of Plasmodium vivax gestational malaria on the clinical and immune status of pregnant women in Northwestern Colombia,"MF Yasnot, D Jay Perkins, M Corredor, S Yanow, J Carmona-Fonseca, ...",Colombia Medica,44,(3),172-177,2013,15987902809828595495,9
"A new species of Giovanella Bonatto (Diptera, Calliphoridae, Mesembrinellinae) from Colombia","M Wolff, Y Ramos-Pastrana, JR Pujol-Luz",Revista Brasileira de Entomologia,57,(2),129-132,2013,8075430390843257667,9
